餐厅名称,餐厅图片,菜品类型,推荐菜品,餐厅地址,经度,纬度,附近交通,餐厅电话,开放时间,必吃指数,人均消费,排队情况,附近景点
老兴鲜,,本帮菜,海鲜,上海市黄浦区淮海中路918号百盛商场5楼,121.4596,31.2172,"地铁1/10/12号线陕西南路站3号口出,步行约5分钟,公交42路、167路、320路淮海中路陕西南路站下车即到。",136-81653751,11:00-22:00,5,235,必须提前预订,上海博物馆
老兴鲜,,本帮菜,清蒸东海油带鱼,上海市黄浦区淮海中路918号百盛商场5楼,121.4596,31.2172,"地铁1/10/12号线陕西南路站3号口出,步行约5分钟,公交42路、167路、320路淮海中路陕西南路站下车即到。",136-81653751,11:00-22:00,5,235,必须提前预订,上海博物馆
老兴鲜,,本帮菜,白烧鳝背,上海市黄浦区淮海中路918号百盛商场5楼,121.4596,31.2172,"地铁1/10/12号线陕西南路站3号口出,步行约5分钟,公交42路、167路、320路淮海中路陕西南路站下车即到。",136-81653751,11:00-22:00,5,235,必须提前预订,上海博物馆
老兴鲜,,本帮菜,粤菜,上海市黄浦区淮海中路918号百盛商场5楼,121.4596,31.2172,"地铁1/10/12号线陕西南路站3号口出,步行约5分钟,公交42路、167路、320路淮海中路陕西南路站下车即到。",136-81653751,11:00-22:00,5,235,必须提前预订,上海博物馆
醉庐·新上海菜（南京西路店）,,本帮菜,八宝辣酱,上海市静安区吴江路269号湟普汇3楼301、302,121.4698,31.2256,"地铁2号线南京西路站1号口出,步行约800米,地铁13号线自然博物馆站3号口出,步行约600米,周边有112路、20路、37路等公交站点。",021-63330707,11:00-22:00,4,125,晚餐需预订,上海博物馆
醉庐·新上海菜（南京西路店）,,本帮菜,新上海菜,上海市静安区吴江路269号湟普汇3楼301、302,121.4698,31.2256,"地铁2号线南京西路站1号口出,步行约800米,地铁13号线自然博物馆站3号口出,步行约600米,周边有112路、20路、37路等公交站点。",021-63330707,11:00-22:00,4,125,晚餐需预订,上海博物馆
醉庐·新上海菜（南京西路店）,,本帮菜,生煸草头,上海市静安区吴江路269号湟普汇3楼301、302,121.4698,31.2256,"地铁2号线南京西路站1号口出,步行约800米,地铁13号线自然博物馆站3号口出,步行约600米,周边有112路、20路、37路等公交站点。",021-63330707,11:00-22:00,4,125,晚餐需预订,上海博物馆
醉庐·新上海菜（南京西路店）,,本帮菜,红烧肉,上海市静安区吴江路269号湟普汇3楼301、302,121.4698,31.2256,"地铁2号线南京西路站1号口出,步行约800米,地铁13号线自然博物馆站3号口出,步行约600米,周边有112路、20路、37路等公交站点。",021-63330707,11:00-22:00,4,125,晚餐需预订,上海博物馆
醉庐·新上海菜（南京西路店）,,本帮菜,鳝筒,上海市静安区吴江路269号湟普汇3楼301、302,121.4698,31.2256,"地铁2号线南京西路站1号口出,步行约800米,地铁13号线自然博物馆站3号口出,步行约600米,周边有112路、20路、37路等公交站点。",021-63330707,11:00-22:00,4,125,晚餐需预订,上海博物馆
一面春风,,江浙菜,春风面,上海市黄浦区云南南路126号,121.4795,31.2275,地铁1/2/8号线人民广场站,021-63366789,10:30-20:00,3,39,饭点排队,上海博物馆
一面春风,,江浙菜,炸猪排面,上海市黄浦区云南南路126号,121.4795,31.2275,地铁1/2/8号线人民广场站,021-63366789,10:30-20:00,3,39,饭点排队,上海博物馆
一面春风,,江浙菜,腰花面,上海市黄浦区云南南路126号,121.4795,31.2275,地铁1/2/8号线人民广场站,021-63366789,10:30-20:00,3,39,饭点排队,上海博物馆
一面春风,,江浙菜,葱油拌面,上海市黄浦区云南南路126号,121.4795,31.2275,地铁1/2/8号线人民广场站,021-63366789,10:30-20:00,3,39,饭点排队,上海博物馆
一面春风,,江浙菜,蛤蜊面,上海市黄浦区云南南路126号,121.4795,31.2275,地铁1/2/8号线人民广场站,021-63366789,10:30-20:00,3,39,饭点排队,上海博物馆
三林本帮馆,,本帮菜,三林塘,上海市浦东新区三林路1800号,121.5,31.16,地铁8号线成山路站,021-58411177,11:00-22:00,3,97,中等排队,上海博物馆
三林本帮馆,,本帮菜,本帮菜,上海市浦东新区三林路1800号,121.5,31.16,地铁8号线成山路站,021-58411177,11:00-22:00,3,97,中等排队,上海博物馆
三林本帮馆,,本帮菜,生煸草头,上海市浦东新区三林路1800号,121.5,31.16,地铁8号线成山路站,021-58411177,11:00-22:00,3,97,中等排队,上海博物馆
三林本帮馆,,本帮菜,红烧肉,上海市浦东新区三林路1800号,121.5,31.16,地铁8号线成山路站,021-58411177,11:00-22:00,3,97,中等排队,上海博物馆
三林本帮馆,,本帮菜,鳝筒,上海市浦东新区三林路1800号,121.5,31.16,地铁8号线成山路站,021-58411177,11:00-22:00,3,97,中等排队,上海博物馆
京云华·中国餐厅,,创意中餐,京菜,上海市黄浦区南京东路829号,121.4828,31.2365,地铁2/10号线南京东路站,021-63330909,11:00-22:00,3,120,晚餐需预订,上海博物馆
京云华·中国餐厅,,创意中餐,海鲜,上海市黄浦区南京东路829号,121.4828,31.2365,地铁2/10号线南京东路站,021-63330909,11:00-22:00,3,120,晚餐需预订,上海博物馆
京云华·中国餐厅,,创意中餐,烤鸭,上海市黄浦区南京东路829号,121.4828,31.2365,地铁2/10号线南京东路站,021-63330909,11:00-22:00,3,120,晚餐需预订,上海博物馆
京云华·中国餐厅,,创意中餐,粤菜,上海市黄浦区南京东路829号,121.4828,31.2365,地铁2/10号线南京东路站,021-63330909,11:00-22:00,3,120,晚餐需预订,上海博物馆
京云华·中国餐厅,,创意中餐,鲁菜,上海市黄浦区南京东路829号,121.4828,31.2365,地铁2/10号线南京东路站,021-63330909,11:00-22:00,3,120,晚餐需预订,上海博物馆
人和馆·上海菜,,本帮菜,上海本帮菜,上海市黄浦区福州路556号,121.4789,31.2332,地铁1/2/8号线人民广场站,021-63222277,11:00-22:00,3,132,周末需预订,上海博物馆
人和馆·上海菜,,本帮菜,八宝辣酱,上海市黄浦区福州路556号,121.4789,31.2332,地铁1/2/8号线人民广场站,021-63222277,11:00-22:00,3,132,周末需预订,上海博物馆
人和馆·上海菜,,本帮菜,生煸草头,上海市黄浦区福州路556号,121.4789,31.2332,地铁1/2/8号线人民广场站,021-63222277,11:00-22:00,3,132,周末需预订,上海博物馆
人和馆·上海菜,,本帮菜,红烧肉,上海市黄浦区福州路556号,121.4789,31.2332,地铁1/2/8号线人民广场站,021-63222277,11:00-22:00,3,132,周末需预订,上海博物馆
大时代美食面馆,,江浙菜,清汤面,上海市黄浦区云南南路88号,121.4793,31.228,地铁1/2/8号线人民广场站,021-63366456,10:30-21:00,3,22,中午需排队,上海博物馆
大时代美食面馆,,江浙菜,炸猪排面,上海市黄浦区云南南路88号,121.4793,31.228,地铁1/2/8号线人民广场站,021-63366456,10:30-21:00,3,22,中午需排队,上海博物馆
大时代美食面馆,,江浙菜,腰花面,上海市黄浦区云南南路88号,121.4793,31.228,地铁1/2/8号线人民广场站,021-63366456,10:30-21:00,3,22,中午需排队,上海博物馆
大时代美食面馆,,江浙菜,蛤蜊面,上海市黄浦区云南南路88号,121.4793,31.228,地铁1/2/8号线人民广场站,021-63366456,10:30-21:00,3,22,中午需排队,上海博物馆
大时代美食面馆,,江浙菜,鳝丝面,上海市黄浦区云南南路88号,121.4793,31.228,地铁1/2/8号线人民广场站,021-63366456,10:30-21:00,3,22,中午需排队,上海博物馆
新大陆中国厨房,,创意中餐,海鲜,上海市黄浦区南京东路819号世茂广场7楼,121.4825,31.2362,地铁2/10号线南京东路站,021-63330808,11:00-22:00,3,125,周末需预订,上海博物馆
新大陆中国厨房,,创意中餐,点心,上海市黄浦区南京东路819号世茂广场7楼,121.4825,31.2362,地铁2/10号线南京东路站,021-63330808,11:00-22:00,3,125,周末需预订,上海博物馆
新大陆中国厨房,,创意中餐,烧味,上海市黄浦区南京东路819号世茂广场7楼,121.4825,31.2362,地铁2/10号线南京东路站,021-63330808,11:00-22:00,3,125,周末需预订,上海博物馆
新大陆中国厨房,,创意中餐,粤菜,上海市黄浦区南京东路819号世茂广场7楼,121.4825,31.2362,地铁2/10号线南京东路站,021-63330808,11:00-22:00,3,125,周末需预订,上海博物馆
新大陆中国厨房,,创意中餐,老火汤,上海市黄浦区南京东路819号世茂广场7楼,121.4825,31.2362,地铁2/10号线南京东路站,021-63330808,11:00-22:00,3,125,周末需预订,上海博物馆
洁而精川菜馆,,川菜,回锅肉,上海市黄浦区雁荡路82号,121.4696,31.2192,地铁1/10/12号线陕西南路站,021-53861004,"11:00-14:00,16:30-21:00",3,80,午晚饭点需等位,上海博物馆
洁而精川菜馆,,川菜,干煸牛肉丝,上海市黄浦区雁荡路82号,121.4696,31.2192,地铁1/10/12号线陕西南路站,021-53861004,"11:00-14:00,16:30-21:00",3,80,午晚饭点需等位,上海博物馆
洁而精川菜馆,,川菜,香酥鸭,上海市黄浦区雁荡路82号,121.4696,31.2192,地铁1/10/12号线陕西南路站,021-53861004,"11:00-14:00,16:30-21:00",3,80,午晚饭点需等位,上海博物馆
洁而精川菜馆,,川菜,鱼香肉丝,上海市黄浦区雁荡路82号,121.4696,31.2192,地铁1/10/12号线陕西南路站,021-53861004,"11:00-14:00,16:30-21:00",3,80,午晚饭点需等位,上海博物馆
洁而精川菜馆,,川菜,麻婆豆腐,上海市黄浦区雁荡路82号,121.4696,31.2192,地铁1/10/12号线陕西南路站,021-53861004,"11:00-14:00,16:30-21:00",3,80,午晚饭点需等位,上海博物馆
老地方面馆,,江浙菜,清汤面,上海市黄浦区福州路343号,121.4765,31.2328,地铁1/2/8号线人民广场站,021-63222345,10:00-21:00,3,20,中午需排队,上海博物馆
老地方面馆,,江浙菜,炸猪排面,上海市黄浦区福州路343号,121.4765,31.2328,地铁1/2/8号线人民广场站,021-63222345,10:00-21:00,3,20,中午需排队,上海博物馆
老地方面馆,,江浙菜,腰花面,上海市黄浦区福州路343号,121.4765,31.2328,地铁1/2/8号线人民广场站,021-63222345,10:00-21:00,3,20,中午需排队,上海博物馆
老地方面馆,,江浙菜,蛤蜊面,上海市黄浦区福州路343号,121.4765,31.2328,地铁1/2/8号线人民广场站,021-63222345,10:00-21:00,3,20,中午需排队,上海博物馆
老地方面馆,,江浙菜,鳝丝面,上海市黄浦区福州路343号,121.4765,31.2328,地铁1/2/8号线人民广场站,021-63222345,10:00-21:00,3,20,中午需排队,上海博物馆
Babosa Barbecue,,拉丁美洲菜,海鮮,上海市浦东新区川沙镇上海迪士尼小镇,121.6694,31.1397,地铁11号线迪士尼站,021-31580002,11:00-22:00,4,150,中等,上海迪士尼乐园
Babosa Barbecue,,拉丁美洲菜,烤肉,上海市浦东新区川沙镇上海迪士尼小镇,121.6694,31.1397,地铁11号线迪士尼站,021-31580002,11:00-22:00,4,150,中等,上海迪士尼乐园
Babosa Barbecue,,拉丁美洲菜,烤蔬菜,上海市浦东新区川沙镇上海迪士尼小镇,121.6694,31.1397,地铁11号线迪士尼站,021-31580002,11:00-22:00,4,150,中等,上海迪士尼乐园
Babosa Barbecue,,拉丁美洲菜,阿根廷燒烤,上海市浦东新区川沙镇上海迪士尼小镇,121.6694,31.1397,地铁11号线迪士尼站,021-31580002,11:00-22:00,4,150,中等,上海迪士尼乐园
Babosa Barbecue,,拉丁美洲菜,雞尾酒,上海市浦东新区川沙镇上海迪士尼小镇,121.6694,31.1397,地铁11号线迪士尼站,021-31580002,11:00-22:00,4,150,中等,上海迪士尼乐园
Babosa烧烤餐厅,,烧烤/巴西菜,巴西烤肉,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.6629,31.1454,地铁11号线迪士尼站,,根据乐园营业时间,4,120,无排队（乐园内餐厅）,上海迪士尼乐园
Babosa烧烤餐厅,,烧烤/巴西菜,沙拉,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.6629,31.1454,地铁11号线迪士尼站,,根据乐园营业时间,4,120,无排队（乐园内餐厅）,上海迪士尼乐园
Babosa烧烤餐厅,,烧烤/巴西菜,烤牛肉,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.6629,31.1454,地铁11号线迪士尼站,,根据乐园营业时间,4,120,无排队（乐园内餐厅）,上海迪士尼乐园
Babosa烧烤餐厅,,烧烤/巴西菜,烤猪肉,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.6629,31.1454,地铁11号线迪士尼站,,根据乐园营业时间,4,120,无排队（乐园内餐厅）,上海迪士尼乐园
Babosa烧烤餐厅,,烧烤/巴西菜,烤玉米,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.6629,31.1454,地铁11号线迪士尼站,,根据乐园营业时间,4,120,无排队（乐园内餐厅）,上海迪士尼乐园
Babosa烧烤餐厅,,烧烤/巴西菜,烤肉串,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.6629,31.1454,地铁11号线迪士尼站,,根据乐园营业时间,4,120,无排队（乐园内餐厅）,上海迪士尼乐园
Babosa烧烤餐厅,,烧烤/巴西菜,烤蔬菜,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.6629,31.1454,地铁11号线迪士尼站,,根据乐园营业时间,4,120,无排队（乐园内餐厅）,上海迪士尼乐园
Babosa烧烤餐厅,,烧烤/巴西菜,烤鸡肉,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.6629,31.1454,地铁11号线迪士尼站,,根据乐园营业时间,4,120,无排队（乐园内餐厅）,上海迪士尼乐园
